Study ,TE,cr,dfr,picture,gender
UMD2,0.1,,,,
UMD2,0.2,,,,
UMD2,-0.1,,,,
UMD2,0,,,,
UMD2,-0.05,,,,
UMD2,0.1,,,,
UMD2,0,,,,
UMD2,0.15,,,,
UMD2,0,,,,
UMD2,0,,,,
UMD2,0.1,,,,
UMD2,0.2,,,,
UMD2,0.05,,,,
UMD2,0.2,,,,
UMD2,-0.1,,,,
UMD2,0.35,,,,
UMD2,-0.15,,,,
UMD2,-0.15,,,,
UMD2,0,,,,
UMD2,0.2,,,,
UMD2,0.05,,,,
UMD2,-0.25,,,,
UMD2,-0.2,,,,
UMD2,-0.15,,,,
UMD2,-0.05,,,,
UMD2,0.1,,,,
UMD2,0,,,,
UMD2,0.25,,,,
UMD2,-0.1,,,,
UMD2,-0.05,,,,
UMD2,0.25,,,,
UMD2,0.15,,,,
UMD2,0,,,,
UMD2,0.15,,,,
UMD2,0.05,,,,
UMD2,-0.1,,,,
UMD2,-0.15,,,,
UMD2,0.05,,,,
UMD2,0.2,,,,
UMD2,0.05,,,,
UMD2,0.1,,,,
UMD2,0.1,,,,
UMD2,0.15,,,,
UMD2,0.3,,,,
UMD2,0.15,,,,
UMD2,0.05,,,,
UMD2,0.45,,,,
UMD2,0.35,,,,
UMD2,0.05,,,,
UMD2,0.25,,,,
UMD2,-0.05,,,,
UMD2,0.05,,,,
UMD2,0.2,,,,
UMD2,0,,,,
UMD2,0.1,,,,
UMD2,0,,,,
UMD2,-0.1,,,,
UMD2,0.35,,,,
UMD2,0.15,,,,
UMD2,0.05,,,,
UMD2,-0.05,,,,
UMD2,0.05,,,,
UMD2,0.1,,,,
UMD2,-0.15,,,,
UMD2,0.05,,,,
UMD2,0.2,,,,
UMD2,0.1,,,,
UMD2,-0.05,,,,
UMD2,-0.15,,,,
UMD2,0.05,,,,
UMD2,0.1,,,,
UMD2,-0.15,,,,
UMD2,0.05,,,,
UMD2,0.05,,,,
UMD2,0.15,,,,
UMD2,0.15,,,,
UMD2,-0.15,,,,
UMD2,-0.1,,,,
UMD2,0.05,,,,
UMD2,0.15,,,,
UMD2,0,,,,
UMD2,0,,,,
UMD2,0.1,,,,
UMD2,-0.05,,,,
UMD2,0.25,,,,
UMD2,0.25,,,,
UMD2,-0.05,,,,
UMD2,0.1,,,,
UMD2,-0.05,,,,
UMD2,0.05,,,,
UMD2,0.2,,,,
UMD2,0.15,,,,
UMD2,0,,,,
UMD2,0.1,,,,
UMD2,-0.05,,,,
UMD2,0,,,,
UMD2,0,,,,
UMD2,0.15,,,,
UMD2,0.1,,,,
UMD2,0.2,,,,
UMD2,0.1,,,,
UMD2,0.05,,,,
UMD2,0.15,,,,
UMD2,0.2,,,,
UMD2,0,,,,
UMD2,0.1,,,,
UMD2,0.35,,,,
UMD2,-0.05,,,,
UMD2,0.05,,,,
UMD2,0.05,,,,
UMD2,0.2,,,,
UMD2,0.15,,,,
UMD2,0.05,,,,
UMD2,0.15,,,,
UMD2,0.2,,,,
UMD2,-0.05,,,,
UMD2,0.15,,,,
UMD2,0.1,,,,
UMD2,-0.15,,,,
UMD2,-0.15,,,,
UMD2,0.05,,,,
UMD2,0,,,,
UMD2,0.1,,,,
UMD2,0.1,,,,
UMD2,-0.05,,,,
Brewer,-0.05,0.17,0.88,0.67,0.48
Brewer,0.25,0.23,0.53,0.85,0.67
Brewer,0,0.53,0.45,0.75,0.72
Brewer,-0.2,0.57,0.55,0.8,0.52
Brewer,-0.25,0.47,0.45,0.78,0.82
Brewer,-0.1,0.53,0.6,0.8,0.38
Brewer,-0.05,0.57,0.67,0.75,0.58
Brewer,0.2,0.5,0.42,0.65,0.63
Brewer,-0.05,0.33,0.52,0.88,0.62
Brewer,0.15,0.43,0.55,0.88,0.64
Brewer,-0.15,0.43,0.47,0.78,0.48
Brewer,-0.1,0.33,0.42,0.93,0.68
Brewer,0.2,0.53,0.6,0.75,0.73
Brewer,-0.2,0.7,0.73,0.75,0.63
Brewer,0,0.4,0.63,0.9,0.6
Brewer,0.05,0.57,0.35,0.88,0.7
Brewer,-0.05,0.7,0.47,0.9,0.57
Brewer,0.1,0.6,0.52,0.88,0.7
Brewer,-0.05,0.1,0.38,0.78,0.82
Brewer,0.25,0.4,0.32,0.82,0.63
Brewer,0.07,0.53,0.62,0.82,0.67
Brewer,0.03,0.1,0.43,0.92,0.7
Brewer,0.15,0.67,0.35,0.7,0.68
Brewer,0.25,0.83,0.5,0.75,0.62
Brewer,0.25,0.6,0.58,0.85,0.6
Brewer,-0.15,0.43,0.78,0.9,0.57
Brewer,0.3,0.2,0.37,0.92,0.67
Brewer,0.15,0.2,0.4,0.83,0.63
Brewer,0.1,0.6,0.4,0.85,0.73
Brewer,0.2,0.57,0.53,0.72,0.67
Brewer,-0.15,0.57,0.38,0.82,0.77
Brewer,0.15,0.6,0.73,0.87,0.45
Brewer,0,0.17,0.72,0.88,0.75
Brewer,-0.2,0.69,1,0.8,0.37
Brewer,-0.15,0.47,0.62,0.92,0.6
Brewer,0.04,0.47,0.42,0.75,0.57
Brewer,-0.05,0.43,0.52,0.92,0.73
Brewer,0.25,0.7,0.75,0.65,0.7
Brewer,0.07,0.57,0.6,0.85,0.66
Brewer,0.1,0.5,0.45,0.65,0.62
Brewer,0.07,0.43,0.5,0.8,0.61
Brewer,0.1,0.73,0.45,0.87,0.68
Brewer,0.1,0.53,0.35,0.88,0.83
Brewer,0.25,0.63,0.47,0.77,0.55
Brewer,0,0.33,0.57,0.88,0.65
Brewer,0.15,0.17,0.52,0.73,0.73
Brewer,0.07,0.4,0.49,0.8,0.6
Brewer,0.1,0.67,0.62,0.72,0.52
Brewer,0,0.3,0.3,0.8,0.7
Brewer,-0.05,0.37,0.48,0.92,0.47
Brewer,0.08,0.47,0.6,0.86,0.66
Brewer,0.25,0.37,0.67,0.85,0.68
Brewer,0.15,0.3,0.57,0.93,0.77
Brewer,0.3,0.4,0.38,0.85,0.48
Brewer,0.05,0.37,0.65,0.62,0.48
Brewer,0.07,0.17,0.34,0.73,0.53
Brewer,0.1,0.33,0.33,0.8,0.58
Brewer,0.05,0.13,0.25,0.7,0.65
Brewer,0.2,0.23,0.5,0.52,0.48
Brewer,0.1,0.27,0.6,0.8,0.45
Brewer,0.1,0.33,0.28,0.35,0.43
Brewer,0.15,0.07,0.22,0.85,0.42
Brewer,-0.1,0.3,0.43,0.8,0.55
Brewer,-0.15,0.2,0.28,0.85,0.58
Brewer,0.08,0.23,0.43,0.78,0.58
Brewer,0.08,0.4,0.48,0.76,0.45
Brewer,0.25,0.43,0.38,0.73,0.28
Brewer,0.09,0.13,0.23,0.73,0.55
Brewer,0.08,0.53,0.4,0.65,0.57
Brewer,0.05,0.3,0.47,0.85,0.4
Brewer,0.15,0.2,0.3,0.78,0.65
Brewer,0.12,0.16,0.07,0.72,0.53
Brewer,0.11,0.24,0.03,0.74,0.55
Brewer,0.08,0.17,0.39,0.76,0.55
Brewer,0.2,0.27,0.28,0.78,0.65
Brewer,0.1,0.27,0.28,0.85,0.53
Brewer,0.06,0.1,0.5,0.9,0.47
Brewer,0.2,0.13,0.43,0.53,0.5
Brewer,0.3,0.7,0.28,0.92,0.25
Brewer,0.3,0.07,0.33,0.72,0.45
Brewer,0,0.73,0.57,0.48,0.52
Brewer,0,0.9,0.67,0.9,0.92
Brewer,0.05,0.6,0.65,0.93,0.73
Brewer,0.05,0.73,0.73,0.9,0.55
Brewer,0.15,0.7,0.63,0.68,0.8
Brewer,0.05,0.77,0.73,0.75,0.6
Brewer,0.1,0.6,0.63,0.92,0.62
Brewer,0,0.77,0.8,0.95,0.35
Brewer,0,0.77,0.58,0.92,0.6
Brewer,0,0.47,0.8,0.95,0.78
Brewer,0.03,0.63,0.92,0.84,0.67
Brewer,0.25,0.87,0.83,0.92,0.78
Brewer,0,0.83,0.65,0.95,0.92
Brewer,0.05,0.87,0.74,0.9,0.72
Brewer,-0.15,1,0.83,0.95,0.87
Brewer,0.05,0.93,0.83,0.92,0.68
Brewer,0.05,0.77,0.62,0.84,0.67
Brewer,0.2,0.77,0.78,0.83,0.58
Brewer,0,0.8,0.45,0.88,0.78
Brewer,0.05,0.6,0.6,0.87,0.7
Brewer,-0.05,0.93,0.82,0.93,0.82
Brewer,0,0.93,0.75,0.9,0.9
Brewer,0.2,0.7,0.82,0.77,0.75
Brewer,-0.2,0.7,0.9,0.98,0.9
Brewer,-0.2,0.6,0.88,0.9,0.63
Brewer,0.05,0.73,0.48,0.95,0.63
Brewer,0.15,0.47,0.72,0.87,0.8
Pan1,0.481578947,0.233333333,0.266666667,0.666666667,0.783333333
Pan1,0.181578947,0.133333333,0.233333333,0.566666667,0.833333333
Pan1,0.134210526,0.9,0.483333333,0.716666667,0.85
Pan1,0.192105263,0.366666667,0.316666667,0.583333333,0.8
Pan1,-0.021052632,0.333333333,0.333333333,0.6,0.916666667
Pan1,-0.036842105,0.433333333,0.366666667,0.466666667,0.933333333
Pan1,0.186842105,0.666666667,0.45,0.65,0.583333333
Pan1,0.292105263,0.633333333,0.15,0.516666667,0.683333333
Pan1,0.444736842,0.3,0.333333333,0.75,0.816666667
Pan1,0.084210526,0.366666667,0.45,0.75,0.883333333
Pan1,0.131578947,0.366666667,0.316666667,0.883333333,0.783333333
Pan1,0.176315789,0.266666667,0.25,0.8,0.75
Pan1,0.044736842,0.3,0.45,0.716666667,0.783333333
Pan1,0.044736842,0.166666667,0.366666667,0.55,0.75
Pan1,0.057894737,0.1,0.316666667,0.683333333,0.716666667
Pan1,0.089473684,0.166666667,0.483333333,0.666666667,0.716666667
Pan1,0.081578947,0.433333333,0.366666667,0.566666667,0.783333333
Pan1,0.281578947,0.466666667,0.4,0.6,0.816666667
Pan1,0.278947368,0.2,0.35,0.6,0.716666667
Pan1,-0.086842105,0.833333333,0.4,0.433333333,0.95
Pan1,0.265789474,0.266666667,0.283333333,0.8,0.633333333
Pan1,0.376315789,0.266666667,0.316666667,0.633333333,0.65
